dataset,H,W,model,latent_dim,params,epochs,val_mse,val_psnr,val_ssim,infer_ms_per_img
mnist,28,28,cnn,256,934081,10,4.001661017608643,23.782735025598583,0.9447587207466119,0.4241433593961119
mnist,28,28,kan_linear,256,3211264,10,0.9224287560462952,29.778377779790436,0.9300703401885618,1.3440611968690064
mnist,28,28,kan_bezier,256,3211264,10,1.0766671047210694,29.12825339752841,0.9207917480261834,5.914091662361898
mnist,28,28,kan_catmull,256,3211264,10,1.0098358861923218,29.351500290408595,0.9238994017872217,4.764546871592756
mnist,28,28,kan_bspline,256,3211264,10,1.0496412302017213,29.231412832590454,0.9251305343583012,4.682683981445734
mnist,28,28,fastkan,256,3615808,10,1.391015392112732,28.560734255882767,0.9419674754039391,0.02628619386086939
cifar16,16,16,cnn,256,563137,10,3.1440690055847167,19.8451762148734,0.5902300483157282,0.1286414031710592
cifar16,16,16,kan_linear,256,1048576,10,0.23006983695030211,30.937388609340573,0.9770223829378711,0.6798471311412868
cifar16,16,16,kan_bezier,256,1048576,10,0.3335889699459076,29.332291131646304,0.9687224876765167,1.1845290404380648
cifar16,16,16,kan_catmull,256,1048576,10,0.29254681725502013,29.837300690337084,0.9719340351988783,1.3311394561242196
cifar16,16,16,kan_bspline,256,1048576,10,0.33535481243133547,29.254401120844513,0.9663445108877773,1.5680294251069427
cifar16,16,16,fastkan,256,1181200,10,0.40860701098442076,28.534918703044653,0.9562688881393707,0.013342187594389543
large,64,64,cnn,256,2582017,8,77.82445896148681,17.78415665526498,0.3271686797196345,3.4385468752589077
large,64,64,kan_linear,256,16777216,8,71.76828463745117,17.999599168036237,0.31246430614211346,6.961280210816767
large,64,64,kan_bezier,256,16777216,8,60.081133918762205,18.77627792945835,0.36575308247557325,24.932808324956568
large,64,64,kan_catmull,256,16777216,8,81.41338178253174,17.47486067062802,0.27618152105224447,26.90510366228409
large,64,64,kan_bspline,256,16777216,8,72.77648292541504,17.95663147155838,0.3064918879039007,24.292294787301216
large,64,64,fastkan,256,18887440,8,62.83292903900146,18.502785121741763,0.3699141395827422,0.22396303684217855
shapes,64,64,cnn,256,2582017,10,488.635,11.49941076658172,0.7814906852299057,2.496058339420415
shapes,64,64,kan_linear,256,16777216,10,90.86242645263673,17.127841842294025,0.7071755145173413,10.94717566811596
shapes,64,64,kan_bezier,256,16777216,10,92.02927673339843,17.05026158430668,0.7056899022429078,25.24974284988275
shapes,64,64,kan_catmull,256,16777216,10,98.73766723632812,16.80087546735769,0.6816875785458546,38.88751301637967
shapes,64,64,kan_bspline,256,16777216,10,95.73687530517579,16.897281345981206,0.6848015518298214,40.541151285106025
shapes,64,64,fastkan,256,18887440,10,101.33694854736328,16.71105956410863,0.6392334583276187,0.2693704343982972
