dataset,H,W,model,latent_dim,params,epochs,val_mse,val_psnr,val_ssim,infer_ms_per_img
mnist,28,28,cnn,16,165841,10,7.865898010253907,20.95065085420543,0.8938944056159863,0.4359830720204627
mnist,28,28,kan_linear,16,200704,10,13.938408209228516,18.188018124568615,0.7575583565999702,0.11232435062993318
mnist,28,28,kan_bezier,16,200704,10,13.838797616577148,18.241004093998207,0.7570796059256214,0.2776316407107515
mnist,28,28,kan_catmull,16,200704,10,14.05566428527832,18.18481834817458,0.7589185403426083,0.4214117161609465
mnist,28,28,kan_bspline,16,200704,10,14.272475720214844,18.11617264264566,0.7575415591989266,0.31883815354376566
mnist,28,28,fastkan,16,228208,10,13.881375068664552,18.31375840223983,0.7587359581071624,0.015560805695713498
cifar16,16,16,cnn,16,63697,10,3.569878967285156,19.338486334024015,0.5513527683641938,0.125319137077895
cifar16,16,16,kan_linear,16,65536,10,2.67381389541626,20.568625754796418,0.6919163219257044,0.04081276238139253
cifar16,16,16,kan_bezier,16,65536,10,2.711870574951172,20.46610631439915,0.6848863299252858,0.09605755294614937
cifar16,16,16,kan_catmull,16,65536,10,2.6879471862792967,20.532994524305604,0.688917439313811,0.08386979388887994
cifar16,16,16,kan_bspline,16,65536,10,2.6993898868560793,20.513177754419313,0.6893350650596637,0.10002187445934396
cifar16,16,16,fastkan,16,74560,10,2.8155715240478516,20.295184658446505,0.6703002270454625,0.007341014861594886
large,64,64,cnn,16,584977,8,90.14535019683838,17.15634339943222,0.29427658230966447,3.4019609229289927
large,64,64,kan_linear,16,1048576,8,144.81124717712402,15.158505684281376,0.20063883149944353,0.7149796889279969
large,64,64,kan_bezier,16,1048576,8,127.79532164001465,15.660417282929313,0.2105444462710856,2.2419879998778924
large,64,64,kan_catmull,16,1048576,8,165.8907735595703,14.578700331393497,0.18811549423736548,1.4649645861936733
large,64,64,kan_bspline,16,1048576,8,246.69677209472655,12.787519009186145,0.1808436410154651,1.4442781117395498
large,64,64,fastkan,16,1192000,8,98.35658602905274,16.69565223890079,0.26194538789951755,0.09083541372092441
shapes,64,64,cnn,16,584977,10,488.635,11.49941076658172,0.7814906852299057,2.5244388012652053
shapes,64,64,kan_linear,16,1048576,10,156.08507202148436,15.039990502887594,0.3835150153324225,0.5501814957824536
shapes,64,64,kan_bezier,16,1048576,10,257.0023876953125,13.248442656476886,0.12226083468228713,1.3188626340706833
shapes,64,64,kan_catmull,16,1048576,10,203.23799865722657,14.09309372918177,0.2369914650379789,1.4334296942251967
shapes,64,64,kan_bspline,16,1048576,10,165.861337890625,14.792822999663938,0.3839865200870186,1.5425117100676289
shapes,64,64,fastkan,16,1192000,10,311.64305786132815,11.9793281156293,0.017969345400582502,0.06586680028703995
