dataset,H,W,model,latent_dim,params,epochs,val_mse,val_psnr,val_ssim,infer_ms_per_img
mnist,28,28,cnn,32,217057,10,5.8138851598103845,22.157987636951386,0.9207693765678044,0.4413096375628811
mnist,28,28,kan_linear,32,301056,10,8.516303517659505,20.359669501629217,0.7909531345751765,0.1465975250084739
mnist,28,28,kan_bezier,32,301056,10,45.57261303710938,12.632913593472088,0.2720235386318939,0.4225011718517635
mnist,28,28,kan_catmull,32,301056,10,8.922012852986654,20.10385654681795,0.7744434022313652,0.49706028439686634
mnist,28,28,kan_bspline,32,301056,10,19.284154134114583,16.618937104094027,0.6280559065599901,0.45617044688697206
mnist,28,28,fastkan,32,454048,10,7.198429883321126,21.19969443382765,0.8781233781901485,0.010420703074487392
cifar16,16,16,cnn,32,96993,10,3.695250784301758,19.162132349043194,0.5296510344607654,0.12426028438312643
cifar16,16,16,kan_linear,32,98304,10,1.6293021991729737,22.69593282154834,0.8215677943371484,0.06791497812628222
cifar16,16,16,kan_bezier,32,98304,10,2.50001349067688,20.859019817324565,0.707826511733295,0.1651582030717691
cifar16,16,16,kan_catmull,32,98304,10,1.8386408992767334,22.15960897627549,0.8025311527204413,0.14668750618511694
cifar16,16,16,kan_bspline,32,98304,10,2.391802375793457,21.03625856681832,0.7203658489970515,0.14636340943070536
cifar16,16,16,fastkan,32,148336,10,1.762553380393982,22.22016134086119,0.8094587232651238,0.014475000034508412
large,64,64,cnn,32,718113,10,80.20253703308106,17.677704614742346,0.31949490186603136,3.431309374900593
large,64,64,kan_linear,32,1572864,10,113.28867938232422,16.17084359609446,0.23259708039860738,0.781263549833966
large,64,64,kan_bezier,32,1572864,10,94.42274519348145,16.929225353872713,0.2640400625795473,2.3160275999543956
large,64,64,kan_catmull,32,1572864,10,108.66192869567871,16.355574241411816,0.24104565008438714,2.7110484374134103
large,64,64,kan_bspline,32,1572864,10,106.56209770202636,16.41787081806697,0.24258975082143713,3.254689599816629
large,64,64,fastkan,32,2371696,10,78.62192411804199,17.633661532600673,0.315665338696777,0.17448228754801676
shapes,64,64,cnn,32,718113,10,488.635,11.49941076658172,0.7814906852299057,3.277088915456261
shapes,64,64,kan_linear,32,1572864,10,350.16718017578125,11.49401711493908,0.024242242089867024,1.2767957187861612
shapes,64,64,kan_bezier,32,1572864,10,392.550166015625,11.16432522059963,0.024707380339972225,4.070485815691427
shapes,64,64,kan_catmull,32,1572864,10,379.43841430664065,11.219199247441999,0.023466822167390607,4.260629293639795
shapes,64,64,kan_bspline,32,1572864,10,375.02515014648435,11.157727494589198,0.02544607900627222,4.24279101571301
shapes,64,64,fastkan,32,2371696,10,228.12240600585938,13.397373928800825,0.030102693959933733,0.12710730302387674
