dataset,H,W,model,latent_dim,params,epochs,val_mse,val_psnr,val_ssim,infer_ms_per_img
mnist,28,28,cnn,64,319489,10,4.854941773986816,22.90407388218766,0.9320419535775949,0.4211078121443279
mnist,28,28,kan_linear,64,802816,10,3.007536133956909,24.908619476313305,0.9124987484540393,0.45951249994686805
mnist,28,28,kan_bezier,64,802816,10,3.3027554931640624,24.503280834088713,0.9081519931052545,0.9624614591302816
mnist,28,28,kan_catmull,64,802816,10,2.973208720779419,24.969095277470622,0.917758756060434,1.0763184873212595
mnist,28,28,kan_bspline,64,802816,10,3.288160400009155,24.521651125653438,0.9092299316980057,1.2075421873305459
mnist,28,28,fastkan,64,905728,10,2.963761823272705,25.030611840018153,0.9373845097808563,0.020393359591253102
cifar16,16,16,cnn,64,163585,10,3.206666352844238,19.7701938931456,0.5874301010488215,0.12776888797816355
cifar16,16,16,kan_linear,64,262144,10,0.8600533769607543,25.357207973877443,0.9110885638083716,0.13546484406106174
cifar16,16,16,kan_bezier,64,262144,10,0.9037964374542237,25.132970327148875,0.9078988367620573,0.3133606747724116
cifar16,16,16,kan_catmull,64,262144,10,0.8879059030532837,25.187862824579305,0.9097055584771062,0.3239277339162072
cifar16,16,16,kan_bspline,64,262144,10,0.8938132465362549,25.160073149144957,0.9100083413569385,0.30680390882480424
cifar16,16,16,fastkan,64,295888,10,0.986414649772644,24.629939666534742,0.8987799285932848,0.011111716230516322
large,64,64,cnn,64,984385,8,82.11543970489502,17.56242785936965,0.3180512079225097,3.3484255254734308
large,64,64,kan_linear,64,4194304,8,103.21677256774902,16.543447013470445,0.2386498543821374,1.7337765646516345
large,64,64,kan_bezier,64,4194304,8,88.68373876190185,17.157250810285465,0.26775169934459353,4.929554674890824
large,64,64,kan_catmull,64,4194304,8,135.84633012390137,15.4221079752283,0.20337124857216207,7.221814600052312
large,64,64,kan_bspline,64,4194304,8,128.04982272338867,15.639890536754516,0.20365277101755977,6.90194271155633
large,64,64,fastkan,64,4731088,8,71.52648378753662,18.013912957330458,0.3354984929774959,0.10232968634227291
shapes,64,64,cnn,64,984385,10,488.635,11.49941076658172,0.7814906852299057,2.5509751259960467
shapes,64,64,kan_linear,64,4194304,10,107.5672250366211,16.41193696592101,0.6181800416087502,1.966617445941665
shapes,64,64,kan_bezier,64,4194304,10,118.73644287109374,15.987817608651117,0.5418593701186734,6.544329295866191
shapes,64,64,kan_catmull,64,4194304,10,124.04476013183594,15.846120270408065,0.5120681064527413,7.448158087208867
shapes,64,64,kan_bspline,64,4194304,10,120.11048736572266,15.9854468419169,0.4885989852568703,6.685858970377012
shapes,64,64,fastkan,64,4731088,10,169.55456726074217,14.644430366706201,0.062376915809553485,0.09156694286502898
