dataset,H,W,model,latent_dim,params,epochs,val_mse,val_psnr,val_ssim,infer_ms_per_img
mnist,28,28,cnn,256,934081,10,4.032052226638794,23.66772890464515,0.9435686402170153,0.5385657594160875
mnist,28,28,kan_linear,256,3211264,10,0.9540082651138305,29.59622923895456,0.9284119298135319,1.3334292968465888
mnist,28,28,kan_bezier,256,3211264,10,1.049396245765686,29.22884123830715,0.9246364284107499,5.426051821905276
mnist,28,28,kan_catmull,256,3211264,10,1.021019161605835,29.331376418450347,0.9284937061241495,8.750690106171533
mnist,28,28,kan_bspline,256,3211264,10,1.0593592171669006,29.20083266991076,0.9221434297547577,5.100217971903476
cifar16,16,16,cnn,256,563137,10,3.107015163421631,19.82280047809042,0.5970897730627627,0.12484544695325894
cifar16,16,16,kan_linear,256,1048576,10,0.23202596926689148,30.886745413934154,0.9764205196690677,0.4335813843681535
cifar16,16,16,kan_bezier,256,1048576,10,0.36058848671913146,28.964254847770277,0.9671340829309232,1.2083937531315314
cifar16,16,16,kan_catmull,256,1048576,10,0.3023101382255554,29.661421068859703,0.9725709661324856,1.3738576811192615
cifar16,16,16,kan_bspline,256,1048576,10,0.33989788541793825,29.183171761710554,0.9688628070543494,1.6178696592760389
large,64,64,cnn,256,2582017,8,78.95175114440919,17.730624723482666,0.3242949234069022,3.449431775152334
large,64,64,kan_linear,256,16777216,8,70.05693242645263,18.112761848086514,0.31829858619709034,7.0944916747976094
large,64,64,kan_bezier,256,16777216,8,62.63250523376465,18.580272206150322,0.3550687721531889,25.54301248746924
large,64,64,kan_catmull,256,16777216,8,80.38702211761475,17.534670933342472,0.28333438143433115,27.28644321250613
large,64,64,kan_bspline,256,16777216,8,78.81138188171387,17.605665433329165,0.2877476330833103,24.39103700016858
shapes,64,64,cnn,256,2582017,10,488.635,11.49941076658172,0.7814906852299057,2.466474599987123
shapes,64,64,kan_linear,256,16777216,10,91.57979248046875,17.117932925108786,0.6704705894455318,10.475788040275802
shapes,64,64,kan_bezier,256,16777216,10,90.57611724853516,17.165019844026308,0.7054681890342338,24.68945079981495
shapes,64,64,kan_catmull,256,16777216,10,97.59277435302734,16.838029265329542,0.6858683556624552,30.15285206856788
shapes,64,64,kan_bspline,256,16777216,10,93.5034112548828,17.03494574192628,0.7141907887144479,31.920003516006545
