dataset,H,W,model,latent_dim,params,epochs,val_mse,val_psnr,val_ssim,infer_ms_per_img
mnist,28,28,cnn,128,524353,10,4.691430127461751,23.09840843815533,0.9351283861630949,0.4454843686289678
mnist,28,28,kan_linear,128,1204224,10,2.424925968170166,25.834392494838486,0.905143907979767,0.6230941437934234
mnist,28,28,kan_bezier,128,1204224,10,6.510075085957845,21.487044265314793,0.8414563389234595,1.70066392802255
mnist,28,28,kan_catmull,128,1204224,10,3.1657328205108644,24.64349076034459,0.8882748974583069,2.414229687565239
mnist,28,28,kan_bspline,128,1204224,10,5.913761589050293,21.924374349252346,0.8507755568511806,2.2981755187174713
mnist,28,28,fastkan,128,1809088,10,1.7048960107167561,27.33756936986471,0.9441229958247749,0.01584544370416552
cifar16,16,16,cnn,128,296769,10,3.0126214584350586,20.034703546912553,0.6032599518236891,0.12426731864252362
cifar16,16,16,kan_linear,128,393216,10,0.5314474888324737,27.49807570427385,0.9473851287245635,0.20171393452983466
cifar16,16,16,kan_bezier,128,393216,10,1.6438115142822265,22.612627360911308,0.8189010295370084,0.6275858031585813
cifar16,16,16,kan_catmull,128,393216,10,0.94792631483078,24.951170883080497,0.90751482497991,0.7611003906276892
cifar16,16,16,kan_bspline,128,393216,10,1.6048171089172363,22.70939274283958,0.8226634055577815,0.6843293031124631
cifar16,16,16,fastkan,128,590992,10,0.5729809917449952,27.032872628263938,0.9404693308742105,0.013901562397222733
large,64,64,cnn,128,1516929,10,99.29942211914063,16.727959253688084,0.27421932879670663,2.6125938812583627
large,64,64,kan_linear,128,6291456,10,94.22062231445312,16.92167593226386,0.2585060460216377,3.9242901031684596
large,64,64,kan_bezier,128,6291456,10,102.84650317382813,16.56010729888324,0.23990922773167567,10.410149609197106
large,64,64,kan_catmull,128,6291456,10,104.93904931640625,16.474373477934414,0.23853006655095166,13.117764712387725
large,64,64,kan_bspline,128,6291456,10,105.65440869140625,16.444174932835534,0.23327550766104713,12.193586853209126
large,64,64,fastkan,128,9449872,10,85.06649365234375,17.258418917092715,0.2635993142015224,0.10632473749865312
shapes,32,32,cnn,128,648193,10,100.61759704589844,11.413553232043293,0.08908610972080164,0.6184464784382726
shapes,32,32,kan_linear,128,1572864,10,32.46887161254883,15.229339837810947,0.2565285563584377,0.7549387909421057
shapes,32,32,kan_bezier,128,1572864,10,54.03686462402344,13.378930250849615,0.13553784857951012,2.745662240067759
shapes,32,32,kan_catmull,128,1572864,10,38.611217193603515,14.588258723515116,0.1929028020613869,2.758446237839962
shapes,32,32,kan_bspline,128,1572864,10,52.53155258178711,13.460772368607802,0.13754476195094628,2.8855072812802973
shapes,32,32,fastkan,128,2362768,10,23.308905029296874,16.64449532451596,0.5809944490957369,0.03817395954683889
