dataset,H,W,model,latent_dim,params,epochs,val_mse,val_psnr,val_ssim,infer_ms_per_img
mnist,28,28,cnn,128,524353,10,4.691430127461751,23.09840843815533,0.9351283861630949,0.4238001312387496
mnist,28,28,kan_linear,128,1204224,10,2.459593026479085,25.771672511648212,0.9073000535434901,0.5332279968570219
mnist,28,28,kan_bezier,128,1204224,10,6.444004011789958,21.507341896068862,0.834957934207725,1.6514230437678634
mnist,28,28,kan_catmull,128,1204224,10,3.2881297346750897,24.473890117975838,0.8927915991117078,2.235128515621909
mnist,28,28,kan_bspline,128,1204224,10,6.0705314598083495,21.797584909734493,0.8433825153687063,2.279521612535973
mnist,28,28,fastkan,128,1809088,10,1.7021652119954427,27.36164802222633,0.9464369178124791,0.01613789063412696
cifar16,16,16,cnn,128,296769,10,3.117338339996338,19.893661421525767,0.5939448844899938,0.12943854371769703
cifar16,16,16,kan_linear,128,393216,10,0.5264500415325165,27.55973541671038,0.9466270442241893,0.19423945009293675
cifar16,16,16,kan_bezier,128,393216,10,1.6616775661468506,22.56389587433189,0.8159044837526703,0.5848161468748003
cifar16,16,16,kan_catmull,128,393216,10,0.9546093297958373,24.922378025461096,0.9079448848603574,1.065075256246928
cifar16,16,16,kan_bspline,128,393216,10,1.6110349752426147,22.69155569135826,0.8211541995142566,0.6475321562447789
cifar16,16,16,fastkan,128,590992,10,0.5775601001739502,26.96720096652432,0.9401998864093551,0.01444140311832598
large,64,64,cnn,128,1516929,10,77.95263886260986,17.79498779223376,0.33162679086746855,3.4048791749228258
large,64,64,kan_linear,128,6291456,10,82.00596006011963,17.471534981573953,0.2949157301111387,2.958102612683433
large,64,64,kan_bezier,128,6291456,10,81.81283777618408,17.46789088619846,0.2793024371483101,11.875601549945713
large,64,64,kan_catmull,128,6291456,10,83.89561796569824,17.40974810512428,0.2851952159352612,11.742345824859513
large,64,64,kan_bspline,128,6291456,10,82.47387705993653,17.472249939676544,0.27815942025659535,11.80458489980083
large,64,64,fastkan,128,9449872,10,62.01423326873779,18.59737011510192,0.37899624753301214,0.2022791873969254
shapes,64,64,cnn,128,1516929,10,488.635,11.49941076658172,0.7814906852299057,2.431589590560179
shapes,64,64,kan_linear,128,6291456,10,199.1583282470703,14.030263283852134,0.054413254870264965,3.824913674952768
shapes,64,64,kan_bezier,128,6291456,10,258.30358642578125,13.019205109974898,0.039624042698696293,10.040483862348992
shapes,64,64,kan_catmull,128,6291456,10,243.38646850585937,13.278333830470157,0.03714946859814622,12.989076581243353
shapes,64,64,kan_bspline,128,6291456,10,261.1421179199219,12.955481957950312,0.03548724855281672,12.76017800964837
shapes,64,64,fastkan,128,9449872,10,127.43954223632812,15.78947089558061,0.2575274359068369,0.1354605471533432
