dataset,H,W,model,latent_dim,params,epochs,val_mse,val_psnr,val_ssim,infer_ms_per_img
mnist,28,28,cnn,32,217057,10,5.074924686431885,22.70249518550985,0.9317258383197141,0.4359503844170831
mnist,28,28,kan_linear,32,401408,10,6.900299156188965,21.368222439816495,0.861956731477274,0.24409661236859392
mnist,28,28,kan_bezier,32,401408,10,7.930139317321777,20.717035420270477,0.8456377816456176,0.6278381533775246
mnist,28,28,kan_catmull,32,401408,10,7.347266046142578,21.061619738980486,0.8509535017546802,0.6026443996233866
mnist,28,28,kan_bspline,32,401408,10,7.620913884735107,20.917440203349543,0.8485644615712954,0.5131069061462767
mnist,28,28,fastkan,32,454048,10,6.557646546936035,21.597646853913453,0.8864430974119519,0.019669525499921292
cifar16,16,16,cnn,32,96993,10,3.467221374511719,19.382193474399962,0.5480087043317663,0.12134335993323475
cifar16,16,16,kan_linear,32,131072,10,1.623599779510498,22.66627471952875,0.8235973881723953,0.09307551881647669
cifar16,16,16,kan_bezier,32,131072,10,1.6695988639831543,22.511095958718407,0.8199958603657008,0.1643946652620798
cifar16,16,16,kan_catmull,32,131072,10,1.666441793823242,22.528289853015114,0.8212214100726528,0.15341757498390507
cifar16,16,16,kan_bspline,32,131072,10,1.6594849033355712,22.558449719799345,0.8218859841592913,0.16947746844380163
cifar16,16,16,fastkan,32,148336,10,1.737494199371338,22.295629801940425,0.8099691291621169,0.004847396849072538
large,64,64,cnn,32,718113,8,88.76631546020508,17.23052672681696,0.2973752869792976,3.3587697878829204
large,64,64,kan_linear,32,2097152,8,110.25894770812988,16.257828037729766,0.224255460618328,1.3167572993552312
large,64,64,kan_bezier,32,2097152,8,106.16243211364745,16.427250139428274,0.23385810423813036,2.537586461403407
large,64,64,kan_catmull,32,2097152,8,166.28733584594727,14.57162959175902,0.18841795197375177,3.9865661368821743
large,64,64,kan_bspline,32,2097152,8,246.85481634521486,12.78764840737914,0.1797579424850211,3.486754161713179
large,64,64,fastkan,32,2371696,8,81.58642876434327,17.47780740136555,0.3031674810194086,0.10632136109052226
shapes,64,64,cnn,32,718113,10,488.635,11.49941076658172,0.7814906852299057,2.4429360561043723
shapes,64,64,kan_linear,32,2097152,10,117.32235076904297,16.111201133268732,0.5442292346666525,1.1364938989572693
shapes,64,64,kan_bezier,32,2097152,10,133.5759832763672,15.606678979497785,0.4639316910037886,3.3428886548790615
shapes,64,64,kan_catmull,32,2097152,10,148.61317626953124,15.230945271796097,0.41116138105931455,3.314330477587646
shapes,64,64,kan_bspline,32,2097152,10,127.36093627929688,15.76046099670581,0.49766986155652626,3.7416078172100242
shapes,64,64,fastkan,32,2371696,10,228.14665161132814,13.383117380440106,0.029576888647822066,0.07893895090091974
