dataset,H,W,model,latent_dim,params,epochs,val_mse,val_psnr,val_ssim,infer_ms_per_img
mnist,28,28,cnn,16,165841,10,8.538954373677571,20.50862539679134,0.8852198339947535,0.4303852875636949
mnist,28,28,kan_linear,16,150528,10,17.968927368164064,16.95312907083298,0.6616901313936432,0.08611510638729669
mnist,28,28,kan_bezier,16,150528,10,52.59939440917969,11.8941185016587,0.1739627887832063,0.23710156565357465
mnist,28,28,kan_catmull,16,150528,10,17.916833719889322,16.94070234345933,0.6425417932390399,0.2830445344443433
mnist,28,28,kan_bspline,16,150528,10,41.52217618815104,13.168949246560528,0.3318805797755528,0.23163828445831314
mnist,28,28,fastkan,16,228208,10,14.229805590311686,18.19349923431669,0.7696300488486951,0.015702471955592046
cifar16,16,16,cnn,16,63697,10,3.6422245628356933,19.25611343325328,0.5407445586535519,0.12154374689998804
cifar16,16,16,kan_linear,16,49152,10,2.682167286682129,20.573739670621073,0.6886963115603356,0.028311072037467966
cifar16,16,16,kan_bezier,16,49152,10,3.08541188621521,19.97191116624927,0.6262023600502957,0.08127969058477902
cifar16,16,16,kan_catmull,16,49152,10,2.7673224380493164,20.418086248318,0.6816700980993721,0.06668163750873646
cifar16,16,16,kan_bspline,16,49152,10,2.8669887870788573,20.286189233966926,0.6632646845019662,0.06465534379458404
cifar16,16,16,fastkan,16,74560,10,2.940441240310669,20.106026939134342,0.6597465568873058,0.0047566438297508284
large,64,64,cnn,16,584977,10,112.501646484375,16.202125536544457,0.24756638826830146,2.6375464811280835
large,64,64,kan_linear,16,786432,10,149.5823818359375,15.004729700362644,0.2041602863459519,0.3520286469210987
large,64,64,kan_bezier,16,786432,10,137.61910498046876,15.355659504536806,0.2100172856260608,1.3680374970135745
large,64,64,kan_catmull,16,786432,10,137.810498046875,15.352397175827328,0.21003496526346563,1.318484378134599
large,64,64,kan_bspline,16,786432,10,145.79202978515625,15.12503215597027,0.20641416124950349,1.3990432312311896
large,64,64,fastkan,16,1192000,10,116.2521884765625,16.005823937608497,0.21551983951249137,0.05114999994475511
shapes,32,32,cnn,16,182161,10,99.17805114746093,11.483287191130572,0.0823766954907972,0.6298794217400427
shapes,32,32,kan_linear,16,196608,10,97.20857482910156,10.529806376504391,0.0624321145122275,0.10359035304645658
shapes,32,32,kan_bezier,16,196608,10,116.65071472167969,9.878085167390942,0.03667633953990081,0.39809985592000885
shapes,32,32,kan_catmull,16,196608,10,101.0550668334961,10.428592844958438,0.055453254389877214,0.3519438973853539
shapes,32,32,kan_bspline,16,196608,10,116.41467376708984,9.871004994425153,0.0373000816074239,0.34884973774751415
shapes,32,32,fastkan,16,298048,10,74.9681332397461,11.879171387725076,0.08821239866034135,0.014069940789340762
