Nazwa zbioru,Rozdzielczość,Model,l. parametrów,MSE,PSNR,SSIM,Czas (ms)
mnist,28x28,Cnn,217057,5.8138851598103845,22.157987636951386,0.9207693765678044,0.4298772124457173
mnist,28x28,Kan linear,301056,8.391472483317058,20.424123414085855,0.79036576679336,0.15680872174925753
mnist,28x28,Kan bezier,301056,36.60290687052409,13.707704269689287,0.4117831593228366,0.43651185324051767
mnist,28x28,Kan catmull,301056,8.963727661132813,20.07654391786162,0.7750152847925458,0.5339985655155033
mnist,28x28,Kan bspline,301056,28.065544993082682,14.904120779739621,0.5083149917911007,0.49040676558433915
mnist,28x28,fastkan,454048,7.13219884109497,21.232200530594774,0.8787295455673897,0.015520703163929285
cifar16,16x16,Cnn,96993,3.6865767208099367,19.140858454674746,0.5301655474448381,0.12758007815136807
cifar16,16x16,Kan linear,98304,1.6253956714630127,22.710179580739577,0.8227437757345427,0.11471966263343347
cifar16,16x16,Kan bezier,98304,2.5204703788757326,20.82225826546736,0.705823115547979,0.17207357177539961
cifar16,16x16,Kan catmull,98304,1.7806157905578612,22.318648094151257,0.809506747945055,0.1400963530613808
cifar16,16x16,Kan bspline,98304,2.3161442432403563,21.18168669555179,0.7316555544721794,0.14384153128048638
cifar16,16x16,fastkan,148336,1.7648095615386963,22.207330928274033,0.8089535145746647,0.005171096927369945
large,64x64,Cnn,718113,100.59522998046874,16.674244766591784,0.2708677854417987,2.6350638062467624
large,64x64,Kan linear,1572864,132.43144287109374,15.526355483227485,0.21127857976319636,0.7232359407680633
large,64x64,Kan bezier,1572864,117.90221533203125,16.008643930728415,0.22309924950151028,3.1341154938672844
large,64x64,Kan catmull,1572864,126.43757958984375,15.713022458515356,0.21809958752076752,2.9117253906406404
large,64x64,Kan bspline,1572864,130.80313330078124,15.576152879581528,0.21514759617688825,2.885970315674058
large,64x64,fastkan,2371696,102.63875903320313,16.505809970540383,0.23084892898307874,0.0459449219306407
shapes,32x32,Cnn,248737,99.50223205566407,11.465930089134696,0.08347631214804978,0.6495562440250069
shapes,32x32,Kan linear,393216,62.871310272216796,12.533563916359732,0.1069075427722325,0.20629086548069608
shapes,32x32,Kan bezier,393216,98.29482971191406,10.73305155834152,0.05741765783621764,0.6050018254427414
shapes,32x32,Kan catmull,393216,72.95096588134766,12.00175493231372,0.09153629832801904,0.640672656300012
shapes,32x32,Kan bspline,393216,94.90665740966797,10.829458597045338,0.06058636433236493,0.6405174405699654
shapes,32x32,fastkan,593008,45.42783447265625,14.027190871401586,0.16536007928335286,0.018379819175606826
