dataset,bottleneck,model,SSIM,PSNR,MSE,l. param.,Czas [ms]
cifar16,16,kan (linear),0.6886963115603356,20.573739670621077,2.682167286682129,49152,0.0283110720374679
cifar16,32,kan (linear),0.8227437757345427,22.710179580739577,1.625395671463013,98304,0.1147196626334334
cifar16,64,kan (linear),0.9048697870239332,25.20126909390944,0.9100642681121828,196608,0.1072141936674597
cifar16,128,kan (linear),0.9473851287245636,27.49807570427385,0.5314474888324737,393216,0.2017139345298346
cifar16,256,kan (linear),0.9653031343541492,29.25842158579216,0.3496146251201629,786432,0.3345572904436267
large,16,cnn,0.2475663882683014,16.202125536544457,112.501646484375,584977,2.6375464811280835
large,32,cnn,0.2708677854417987,16.674244766591784,100.59522998046874,718113,2.6350638062467624
large,64,cnn,0.2568326209785342,16.343885855058453,107.71771826171874,984385,2.650870706202113
large,128,cnn,0.2742193287967066,16.727959253688084,99.29942211914064,1516929,2.6125938812583627
large,256,fastkan,0.2789374776785191,17.489515225785844,80.17317602539063,18887440,0.1374221375044726
mnist,16,cnn,0.8852198339947535,20.50862539679134,8.538954373677571,165841,0.4303852875636949
mnist,32,cnn,0.9207693765678044,22.157987636951383,5.8138851598103845,217057,0.4298772124457173
mnist,64,fastkan,0.9293487142808,24.68048894372876,3.2174526691436767,905728,0.0167962217346939
mnist,128,fastkan,0.9441229958247748,27.33756936986471,1.704896010716756,1809088,0.0158454437041655
mnist,256,fastkan,0.9429956432775248,28.050966966553336,1.6060052045186362,3615808,0.0308488279188168
shapes,16,fastkan,0.0882123986603413,11.879171387725076,74.9681332397461,298048,0.0140699407893407
shapes,32,fastkan,0.1653600792833528,14.027190871401586,45.42783447265625,593008,0.0183798191756068
shapes,64,fastkan,0.4813685750908562,15.804711791288524,28.64654815673828,1182928,0.0210600284844986
shapes,128,fastkan,0.5809944490957369,16.64449532451596,23.308905029296877,2362768,0.0381739595468388
shapes,256,fastkan,0.6489590609242546,17.239068103759646,21.122390747070312,4722448,0.1089859349121979
